aX,aY,aZ,gX,gY,gZ
0.14,0.801,0.385,-68.115,74.158,-43.579
0.158,0.859,0.397,0.977,1.343,0.244
0.164,0.844,0.401,3.906,0.488,0.061
0.158,0.856,0.394,1.526,1.404,0.061
0.162,0.841,0.403,1.526,1.77,-0.61
0.165,0.85,0.4,-0.305,1.099,-0.183
0.163,0.856,0.4,1.038,0.732,-0.061
0.162,0.855,0.407,-0.671,0.732,-0.305
0.163,0.855,0.392,-0.61,0.427,0.977
0.156,0.851,0.4,0.122,-0.122,0.61
0.16,0.849,0.399,0.916,0,0.366
0.168,0.853,0.397,-0.183,0.305,0.183
0.164,0.858,0.393,-1.465,0.793,0
0.151,0.848,0.397,0.427,0.183,-0.488
0.162,0.86,0.391,-1.282,0.488,-1.16
0.164,0.859,0.394,-0.977,0.427,0
0.156,0.856,0.395,0.854,0.305,-0.183
0.161,0.853,0.401,-1.038,0,-0.427
0.163,0.864,0.397,-1.465,0.366,-0.061
0.162,0.852,0.396,0.427,0.061,-0.305
0.162,0.856,0.397,-0.671,0.549,-0.244
0.164,0.864,0.388,0.549,0.854,0.244
0.157,0.854,0.399,1.343,0.61,-0.244
0.161,0.856,0.391,0.854,1.343,-0.549
0.158,0.861,0.391,-0.244,1.099,0.244
0.164,0.857,0.397,1.099,0.854,0.366
0.168,0.855,0.4,1.221,0.854,0.244
0.16,0.858,0.4,0.671,0.366,0.366
0.158,0.864,0.391,0.244,0.61,0.427
0.166,0.859,0.395,0.305,0.122,0.244
0.164,0.863,0.397,0.244,0.793,0.061
0.168,0.856,0.388,0.793,0.549,0.854
0.159,0.851,0.399,1.526,-0.244,0.549
0.158,0.85,0.403,0.793,-0.244,-0.183
0.168,0.852,0.394,0.793,0.854,-0.244
0.16,0.845,0.396,1.465,0.305,-0.61
0.159,0.864,0.393,-0.488,0.977,-0.244
0.163,0.868,0.393,-1.038,1.282,0.671
0.161,0.85,0.398,1.892,0.244,0.366
0.157,0.863,0.395,-1.343,1.16,-0.244
0.167,0.861,0.391,1.099,1.038,-0.244
0.162,0.851,0.399,0.244,0.854,0.183
0.165,0.853,0.406,0.427,0.732,0.244
0.167,0.863,0.394,1.221,0.977,-0.183
0.159,0.855,0.394,-0.732,0.854,-0.183
0.159,0.852,0.403,0.488,-0.061,0.122
0.163,0.854,0.395,0.916,0.732,-0.244
0.166,0.863,0.39,0.122,0.854,0.488
0.157,0.859,0.391,0.427,0.244,0.244
0.158,0.856,0.396,-0.122,0.488,0.305
0.163,0.857,0.395,1.404,0.854,-0.488
0.165,0.863,0.398,0.122,1.282,-0.244
0.161,0.851,0.403,-0.427,0.916,0
0.17,0.859,0.395,0.183,1.099,-0.183
0.161,0.855,0.4,-0.916,0.549,0.549
0.161,0.863,0.396,0.793,0.183,0.427
0.169,0.854,0.392,1.648,-0.061,-0.427
0.162,0.864,0.387,-0.854,0.61,-0.854
0.161,0.86,0.384,0,1.16,-0.061
0.162,0.86,0.398,-0.427,1.282,0.366
0.166,0.86,0.4,0.671,0.977,-0.183
0.165,0.859,0.398,-0.061,1.221,-0.061
0.158,0.867,0.392,1.16,0.549,0.549
0.164,0.852,0.396,0.854,0.549,0.122
,,,,,
0.053,0.956,0.474,-19.653,10.193,2.502
0.102,0.618,0.414,44.006,13.916,9.644
0.209,1.129,0.284,53.345,17.456,-2.319
0.13,0.919,0.288,-6.836,-32.593,3.357
0.275,0.965,0.346,31.799,1.282,11.047
0.128,0.679,0.394,26.306,1.465,5.188
0.144,0.921,0.482,-14.038,-3.906,-6.958
0.135,0.823,0.478,1.831,-0.183,4.822
0.184,0.822,0.466,-2.686,0,-1.831
0.167,0.836,0.466,-1.648,-2.563,0.854
0.169,0.803,0.448,0.854,-0.977,0.488
0.166,0.839,0.448,-2.869,-1.892,-1.465
0.139,0.82,0.442,0.305,-1.221,-1.404
0.149,0.838,0.441,-1.343,0,-0.854
0.149,0.84,0.442,0.549,-1.038,0.427
0.152,0.829,0.448,0.549,1.282,0.122
0.156,0.82,0.458,1.831,1.16,0.977
0.148,0.827,0.453,0.488,1.099,0.061
0.161,0.825,0.467,0.061,-0.183,-0.61
0.158,0.841,0.457,-0.61,0.549,0.549
0.155,0.82,0.444,-0.61,0.244,-0.427
0.156,0.832,0.449,-1.038,-0.244,-0.305
0.145,0.836,0.444,-1.587,0.366,-0.488
0.159,0.836,0.444,-0.183,0.671,-0.488
0.154,0.838,0.448,0.244,0.549,0.488
0.151,0.835,0.446,15.503,0.61,0.366
0.155,0.83,0.449,0.488,0.549,0.488
0.15,0.835,0.45,-0.061,0.366,0.549
0.158,0.839,0.443,0.671,0.549,0.732
0.151,0.841,0.446,-0.366,0.366,0.366
0.153,0.84,0.448,0.916,0.732,-0.366
0.151,0.836,0.441,0.305,0.793,0.61
0.152,0.831,0.448,0.977,0.122,-0.244
0.155,0.84,0.448,0.61,0.916,0.366
0.154,0.824,0.451,0.977,0.305,0
0.147,0.837,0.449,-0.061,0.61,0.061
0.156,0.838,0.446,0.305,0.427,-0.366
0.152,0.838,0.449,0,0.366,0.305
0.15,0.831,0.443,0.732,0.366,0.244
0.151,0.831,0.441,0.427,0.427,0.549
0.15,0.837,0.445,0.305,0.488,0.244
0.156,0.835,0.444,0.427,0.793,0.122
0.151,0.833,0.45,0.671,0.916,-0.061
0.152,0.835,0.449,0.793,0.671,-0.427
0.156,0.842,0.446,-0.305,0.732,0.549
0.148,0.839,0.45,0.366,0.732,0.854
0.153,0.832,0.438,0.854,0.916,0.793
0.15,0.838,0.446,0.122,0.793,0.122
0.153,0.834,0.44,0.854,1.16,0
0.154,0.832,0.445,0.549,0.793,0.366
0.152,0.833,0.455,0.488,0.793,0.488
0.157,0.84,0.451,0.488,0.793,0.183
0.158,0.832,0.453,0.305,0.671,0
