aX,aY,aZ,gX,gY,gZ
-0.224,-0.820,-1.562,155.029,168.152,-8.057
-0.109,-0.808,-1.522,137.573,103.638,2.625
0.046,-0.762,-1.330,120.300,39.246,13.855
0.219,-0.718,-1.073,103.088,-9.644,22.400
0.386,-0.687,-0.792,83.008,-36.804,26.001
0.527,-0.677,-0.495,65.979,-40.100,28.198
0.664,-0.687,-0.262,50.659,-24.109,30.701
0.751,-0.685,-0.136,37.720,-2.319,32.410
0.771,-0.707,-0.103,27.466,13.428,30.396
0.766,-0.739,-0.125,18.677,22.827,26.978
0.716,-0.767,-0.182,11.841,27.954,24.719
0.686,-0.770,-0.275,7.080,26.611,23.682
0.625,-0.761,-0.280,2.563,13.428,23.499
0.595,-0.784,-0.345,-2.991,0.183,17.334
0.580,-0.807,-0.377,-5.737,-8.911,13.550
0.573,-0.795,-0.325,-9.460,-17.273,16.602
0.610,-0.749,-0.279,-14.771,-21.423,19.104
0.652,-0.741,-0.239,-17.822,-24.109,17.639
0.676,-0.738,-0.215,-19.592,-27.161,15.076
0.692,-0.736,-0.196,-22.888,-29.785,11.169
0.701,-0.726,-0.169,-26.428,-31.799,8.423
0.698,-0.727,-0.159,-29.114,-32.959,7.141
0.722,-0.709,-0.143,-33.081,-31.799,5.676
0.757,-0.677,-0.129,-37.903,-31.433,4.700
0.774,-0.670,-0.109,-43.457,-33.386,2.197
0.776,-0.685,-0.069,-47.974,-36.316,-2.258
0.758,-0.683,-0.013,-50.720,-38.025,-6.042
0.756,-0.702,0.030,-50.659,-37.048,-8.118
0.731,-0.701,0.053,-47.668,-36.926,-9.155
0.703,-0.725,0.041,-44.189,-35.278,-9.705
0.675,-0.728,0.024,-43.030,-32.593,-9.094
0.624,-0.749,-0.020,-42.969,-28.992,-9.521
0.591,-0.767,-0.069,-46.631,-24.353,-10.254
0.594,-0.709,-0.094,-53.040,-20.142,-8.362
0.617,-0.698,-0.081,-57.434,-18.555,-7.996
0.638,-0.680,-0.061,-60.547,-22.339,-7.812
0.660,-0.671,-0.017,-62.988,-32.532,-9.827
0.686,-0.664,0.059,-64.148,-45.959,-11.719
0.695,-0.659,0.140,-63.721,-59.692,-14.038
0.670,-0.679,0.192,-61.157,-70.190,-17.822
0.629,-0.708,0.233,-57.983,-73.669,-19.531
0.590,-0.720,0.235,-56.091,-67.261,-19.043
0.556,-0.728,0.217,-54.993,-51.636,-17.334
0.535,-0.722,0.182,-55.725,-31.677,-13.794
0.520,-0.719,0.146,-57.678,-14.526,-10.193
0.499,-0.718,0.108,-59.692,-4.211,-7.996
0.507,-0.700,0.095,-61.829,-0.916,-5.432
0.541,-0.671,0.127,-63.660,-5.005,-3.662
0.554,-0.653,0.201,-65.247,-15.869,-3.418
0.577,-0.660,0.293,-65.002,-29.114,-4.028
0.572,-0.663,0.373,-63.354,-39.612,-4.211
0.578,-0.681,0.422,-62.378,-44.678,-4.517
0.578,-0.671,0.435,-62.195,-41.687,-4.395
0.576,-0.669,0.446,-63.843,-31.738,-3.845
0.557,-0.688,0.441,-67.383,-17.395,-3.723
0.530,-0.690,0.412,-71.350,-1.160,-2.441
0.510,-0.700,0.382,-75.745,13.123,0.366
0.501,-0.684,0.357,-79.468,23.254,2.991
0.504,-0.687,0.373,-82.703,23.743,6.592
0.522,-0.674,0.420,-83.923,18.616,10.010
0.529,-0.657,0.493,-80.994,9.277,12.756
0.543,-0.668,0.521,-74.402,0.061,11.719
0.551,-0.658,0.524,-66.284,-5.859,13.000
0.560,-0.666,0.524,-60.364,-7.690,14.587
0.553,-0.670,0.502,-57.617,-4.639,14.160
0.533,-0.672,0.468,-56.274,3.845,13.123
0.564,-0.698,0.459,-56.885,14.221,10.620
0.532,-0.653,0.432,-51.025,17.944,12.634
0.564,-0.676,0.473,-52.368,10.925,8.423
0.558,-0.668,0.475,-48.767,0.305,7.141
0.573,-0.668,0.534,-46.204,-12.451,6.592
0.575,-0.670,0.588,-41.809,-22.095,5.920
0.574,-0.667,0.629,-35.583,-25.391,6.653
0.594,-0.663,0.637,-29.602,-25.513,9.216
0.604,-0.650,0.614,-24.475,-22.583,10.498
0.607,-0.659,0.582,-21.729,-16.418,11.047
0.630,-0.630,0.541,-22.034,-7.812,10.437
0.638,-0.619,0.534,-23.865,-1.709,8.667
0.638,-0.630,0.541,-27.039,-1.343,6.958
0.657,-0.613,0.563,-29.968,-3.845,7.324
0.687,-0.589,0.598,-31.311,-9.521,8.362
0.703,-0.580,0.609,-30.273,-18.311,6.714
0.685,-0.597,0.598,-26.672,-26.917,3.662
0.691,-0.601,0.576,-23.987,-31.616,2.686
0.676,-0.561,0.540,-23.376,-31.860,2.869
0.675,-0.569,0.565,-23.315,-29.114,1.160
0.666,-0.554,0.605,-23.682,-23.682,0.671
0.652,-0.556,0.638,-24.536,-17.334,1.709
0.657,-0.558,0.652,-22.949,-10.803,3.296
0.671,-0.529,0.650,-21.362,-3.357,5.188
0.677,-0.520,0.674,-22.461,-2.319,4.822
0.672,-0.530,0.672,-20.386,-4.150,2.258
0.669,-0.523,0.712,-18.555,-9.399,1.404
0.650,-0.544,0.733,-15.381,-14.893,0.854
0.639,-0.557,0.732,-11.719,-19.531,0.244
0.636,-0.551,0.718,-8.850,-21.545,1.099
0.633,-0.545,0.704,-6.470,-20.691,1.404
0.629,-0.549,0.712,-5.371,-18.738,0.854
0.621,-0.557,0.723,-4.822,-15.564,0.427
0.618,-0.567,0.714,-4.700,-11.475,0.000
0.608,-0.566,0.696,-4.944,-6.836,0.244
0.602,-0.571,0.668,-4.456,-1.221,0.549
0.602,-0.568,0.664,-3.723,2.869,1.160
0.604,-0.571,0.661,-2.502,3.052,1.770
0.605,-0.576,0.647,-0.366,0.305,2.014
0.604,-0.580,0.630,0.916,-2.747,2.441
0.599,-0.575,0.620,0.977,-4.150,2.991
0.597,-0.583,0.610,1.099,-3.113,3.113
0.605,-0.579,0.602,0.244,-0.793,3.418
0.608,-0.572,0.586,-0.732,1.221,2.686
0.604,-0.577,0.577,-0.977,2.014,1.404
0.595,-0.580,0.574,-1.770,2.258,0.549
0.592,-0.583,0.583,-2.380,2.319,1.038
0.593,-0.580,0.575,-2.075,2.014,1.160
0.590,-0.579,0.576,-1.831,1.892,1.343
0.590,-0.579,0.577,-1.526,1.160,0.977
0.595,-0.579,0.576,-1.099,0.977,0.366
0.602,-0.568,0.578,-0.732,0.000,-0.122
0.598,-0.577,0.584,-0.122,-1.465,0.183
0.844,-0.355,1.474,34.424,-7.141,-7.385
0.849,-0.303,1.613,42.725,-3.357,-9.155
0.820,-0.313,1.737,53.101,1.038,-10.010
0.796,-0.310,1.776,65.735,9.460,-11.169
0.802,-0.290,1.770,81.482,21.057,-11.841
0.817,-0.284,1.738,98.511,29.602,-13.123
0.862,-0.291,1.717,113.464,30.945,-14.221
0.843,-0.318,1.733,125.793,21.912,-15.015
0.803,-0.375,1.705,137.512,8.484,-19.165
0.772,-0.410,1.620,152.161,-3.784,-26.062
0.725,-0.401,1.537,167.664,-13.916,-31.555
0.677,-0.419,1.380,186.829,-13.855,-40.039
0.574,-0.476,1.129,206.726,-3.418,-48.218
0.448,-0.516,0.863,220.032,16.907,-48.706
0.342,-0.448,0.506,230.164,50.293,-41.992
0.216,-0.401,0.013,241.699,95.337,-35.461
0.024,-0.381,-0.641,247.375,145.691,-30.579
-0.206,-0.388,-1.426,243.652,195.557,-27.466
-0.514,-0.381,-2.243,231.445,229.370,-26.428
-0.774,-0.492,-2.927,212.036,231.995,-25.696
-0.894,-0.480,-3.244,183.167,193.176,-16.357
-0.799,-0.558,-3.155,151.123,119.995,-0.122
-0.446,-0.517,-2.667,111.572,37.231,18.555
0.006,-0.444,-1.808,68.542,-28.198,29.541
0.328,-0.468,-0.876,33.447,-59.265,32.837
0.622,-0.536,-0.151,8.484,-51.331,32.532
0.849,-0.630,0.343,-6.653,-28.870,32.837
1.007,-0.701,0.618,-13.977,-4.761,33.142
1.064,-0.762,0.659,-15.564,14.771,29.541
1.029,-0.835,0.549,-12.878,25.208,21.851
0.913,-0.896,0.348,-7.996,25.635,13.184
0.783,-0.948,0.107,-5.737,19.775,5.249
0.635,-0.942,-0.083,-7.935,9.094,0.671
0.509,-0.970,-0.237,-13.489,-0.732,-2.563
0.435,-0.968,-0.326,-22.888,-7.690,-2.686
0.426,-0.914,-0.329,-33.813,-11.963,-0.549
0.456,-0.870,-0.271,-41.626,-13.184,-0.732
0.490,-0.843,-0.201,-45.593,-12.939,0.000
0.535,-0.820,-0.135,-46.082,-11.597,2.258
0.568,-0.794,-0.083,-44.067,-10.071,5.432
0.592,-0.760,-0.058,-37.964,-9.521,6.470
0.586,-0.778,-0.080,-28.137,-9.460,4.822
0.567,-0.778,-0.130,-20.752,-9.338,5.127
0.556,-0.766,-0.158,-17.395,-9.949,6.409
0.537,-0.751,-0.232,-14.404,-11.841,7.507
0.542,-0.767,-0.250,-20.081,-15.137,7.507
0.549,-0.744,-0.280,-24.780,-21.851,7.690
0.563,-0.735,-0.285,-27.832,-30.945,8.545
0.569,-0.690,-0.209,-36.377,-41.443,5.676
0.552,-0.699,-0.129,-47.852,-46.326,-1.648
0.535,-0.729,-0.028,-56.580,-45.227,-7.141
0.515,-0.728,0.032,-59.143,-39.673,-5.920
0.503,-0.752,0.052,-59.998,-30.884,-3.052
0.482,-0.771,0.037,-60.669,-19.836,0.061
0.467,-0.797,0.003,-62.012,-8.362,4.456
0.478,-0.784,-0.036,-64.819,-1.648,9.033
0.517,-0.754,-0.039,-70.068,-2.991,13.062
0.558,-0.733,-0.010,-77.209,-12.634,13.794
0.597,-0.717,0.017,-85.876,-26.001,10.681
