aX,aY,aZ,gX,gY,gZ
0.167,0.908,0.262,-41.870,-5.005,2.136
0.178,0.878,0.280,-57.556,-1.831,1.038
0.209,0.824,0.186,-69.641,0.854,0.427
0.251,0.711,0.309,-70.984,3.052,0.122
0.291,0.688,0.421,-57.312,-0.305,1.038
0.294,0.748,0.408,-51.086,-6.775,4.089
0.258,0.813,0.441,-53.467,-12.085,7.385
0.179,0.834,0.422,-41.382,-23.376,12.146
0.043,0.831,0.365,-28.137,-28.870,17.334
-0.090,0.837,0.290,-36.011,-20.691,16.968
-0.125,0.913,0.353,-48.584,-10.803,8.911
-0.059,1.107,0.264,-45.654,-9.827,3.296
0.020,1.249,0.036,-45.410,-8.606,5.310
0.066,1.224,0.099,-36.682,-4.150,8.423
0.088,1.063,0.200,-0.244,-5.920,9.094
0.118,0.915,0.241,21.362,-6.836,9.521
0.157,0.827,0.319,22.705,-5.859,5.615
0.168,0.793,0.341,12.817,-9.277,-0.977
0.135,0.830,0.284,2.441,-9.766,-1.160
0.103,0.893,0.277,-1.465,-4.395,-0.244
0.116,0.927,0.301,3.052,-1.221,0.122
0.150,0.895,0.325,7.935,-1.099,-0.244
0.160,0.839,0.324,13.062,-2.380,0.061
0.126,0.878,0.322,10.681,-3.906,2.686
0.093,0.970,0.247,-2.502,-2.686,2.441
0.091,0.953,0.213,-11.047,-1.099,-0.061
0.098,0.912,0.216,-2.014,1.709,0.061
0.117,0.915,0.210,3.845,4.639,-0.305
0.143,0.904,0.238,3.845,6.287,-0.916
0.153,0.910,0.246,1.831,5.310,-0.610
0.141,0.940,0.240,0.916,3.540,0.122
0.128,0.926,0.269,4.822,2.319,0.488
0.128,0.893,0.301,9.766,0.916,0.549
0.124,0.874,0.314,9.766,-0.122,0.427
0.110,0.887,0.297,5.493,0.183,0.488
0.102,0.923,0.275,-2.808,2.075,-0.488
0.108,0.935,0.251,-6.165,4.028,-1.282
0.118,0.912,0.256,-0.488,5.066,0.000
0.131,0.907,0.263,2.136,4.700,1.160
0.133,0.903,0.262,0.305,3.540,0.244
0.120,0.912,0.270,-1.282,2.197,-0.610
0.113,0.919,0.281,-1.648,1.038,-0.610
0.111,0.915,0.280,0.671,0.244,-0.488
0.111,0.903,0.286,1.892,-0.366,-0.183
0.107,0.909,0.286,1.953,-0.061,-0.183
0.113,0.923,0.283,-0.549,0.427,-0.671
0.111,0.918,0.278,-1.526,0.183,0.000
0.107,0.921,0.278,0.610,0.610,0.549
0.112,0.913,0.275,1.404,1.282,0.000
0.117,0.925,0.265,-0.977,1.221,-0.122
0.116,0.925,0.266,-1.648,2.258,-0.122
0.118,0.913,0.266,0.916,2.502,0.061
0.122,0.913,0.273,2.136,1.892,0.183
0.121,0.911,0.276,0.977,0.793,0.305
0.120,0.899,0.285,0.793,0.122,0.366
0.112,0.916,0.279,1.221,-0.366,0.366
0.110,0.930,0.272,-0.610,0.183,0.183
0.115,0.916,0.279,-0.671,0.488,-0.305
0.115,0.915,0.281,1.099,0.549,0.427
0.117,0.923,0.282,1.038,0.977,0.244
0.119,0.924,0.269,1.221,1.831,-0.061
0.123,0.920,0.262,-0.183,1.892,-0.244
0.119,0.922,0.256,-1.343,2.258,0.122
0.120,0.926,0.259,-2.930,3.418,-0.183
0.177,0.878,0.280,-39.856,-7.874,-1.099
0.193,0.916,0.284,-47.241,-3.967,-2.686
0.234,0.860,0.295,-50.110,-0.427,-1.526
0.270,0.746,0.405,-35.706,0.488,2.258
0.260,0.778,0.364,-27.222,-2.197,5.676
0.210,0.812,0.335,-37.109,-3.052,9.155
0.148,0.823,0.378,-43.152,-6.348,14.648
0.038,0.848,0.345,-38.391,-13.489,21.729
-0.114,0.877,0.324,-36.499,-12.024,22.461
-0.177,1.034,0.350,-34.973,-7.385,14.587
-0.091,1.224,0.249,-26.062,-4.883,9.033
0.023,1.205,0.194,-17.700,-6.775,9.033
