aX,aY,aZ,gX,gY,gZ
0.074,1.072,0.350,-38.025,3.845,-4.211
0.119,0.987,0.255,-26.733,7.751,-7.751
0.131,0.791,0.176,20.203,0.000,-7.080
0.075,0.807,0.284,55.054,7.263,-0.244
0.037,0.972,0.260,51.331,14.832,2.380
0.034,1.123,0.208,33.875,19.714,-1.892
0.081,1.130,0.244,30.518,26.733,-4.761
0.165,1.083,0.281,42.480,29.541,-0.122
0.256,0.968,0.273,65.186,24.170,4.700
0.469,0.464,0.355,85.999,17.700,3.418
0.613,0.276,0.898,86.243,2.563,-4.395
0.369,0.553,0.596,39.795,-23.560,-6.592
0.108,0.766,0.130,4.272,-24.963,-5.981
-0.020,1.005,0.245,-30.151,-15.198,-5.920
-0.040,1.066,0.278,-28.931,-7.507,-9.338
0.104,0.963,0.324,-15.625,-3.662,-7.751
0.248,1.052,0.321,-5.493,-0.061,-1.526
0.202,1.010,0.327,8.972,-3.784,-0.793
0.134,0.832,0.344,23.804,-3.967,-2.197
0.174,0.724,0.341,28.137,-2.991,-1.343
0.204,0.731,0.361,16.357,-1.404,-2.319
0.179,0.808,0.342,1.221,0.610,-4.333
0.161,0.934,0.348,-7.263,2.380,-4.700
0.171,0.974,0.365,-5.127,2.014,-3.601
0.180,0.902,0.373,2.563,-0.732,-1.404
0.161,0.854,0.369,6.226,-2.625,-0.549
0.147,0.855,0.374,3.601,-3.113,-1.404
0.142,0.871,0.370,-0.549,-3.174,-2.319
0.144,0.898,0.364,-2.930,-2.136,-1.648
0.147,0.923,0.364,-3.174,-1.404,-0.671
0.154,0.920,0.374,-0.610,-1.160,0.183
0.157,0.880,0.380,4.700,-1.831,1.221
0.153,0.848,0.388,5.432,-1.648,1.038
0.150,0.858,0.384,2.014,-1.160,0.916
0.141,0.887,0.375,-1.892,-0.671,1.038
0.137,0.905,0.380,-3.174,-0.305,0.732
0.149,0.901,0.382,-2.258,-0.305,0.854
0.162,0.881,0.391,-0.366,-1.221,1.404
0.155,0.851,0.378,1.465,-2.747,1.465
0.141,0.848,0.390,2.441,-3.052,1.526
0.139,0.862,0.363,2.258,-1.770,2.075
0.149,0.895,0.360,1.465,-0.488,2.441
0.161,0.900,0.355,1.770,-0.183,2.625
0.162,0.886,0.362,4.272,-0.244,2.869
0.157,0.861,0.371,5.188,-0.488,3.174
0.157,0.842,0.375,4.333,-0.854,2.991
0.154,0.844,0.368,1.953,-1.099,2.319
0.153,0.866,0.376,-1.038,-0.916,1.160
0.160,0.885,0.369,-2.502,-1.404,0.977
0.153,0.880,0.370,-2.625,-2.014,1.221
0.147,0.878,0.376,-2.686,-1.953,1.099
0.149,0.870,0.371,-1.709,-1.587,1.404
0.153,0.872,0.368,-0.366,-1.038,2.014
0.154,0.871,0.377,0.244,-0.488,1.892
0.156,0.869,0.372,0.671,-0.488,1.770
0.157,0.863,0.373,0.183,0.000,1.709
0.160,0.873,0.377,-0.366,0.000,1.526
0.160,0.878,0.368,-0.183,-0.305,1.953
0.157,0.865,0.373,0.122,-0.671,2.075
0.153,0.859,0.379,-0.122,-0.732,1.404
0.153,0.856,0.372,0.061,-0.488,1.465
0.156,0.858,0.374,-0.244,-0.305,1.648
0.159,0.873,0.370,-0.732,-0.122,1.404
0.159,0.876,0.369,-0.793,-0.427,1.587
0.099,0.951,0.277,-18.250,8.728,-1.221
0.053,0.953,0.230,-11.047,10.803,-0.732
0.060,0.955,0.210,-2.075,16.113,-1.282
0.089,0.943,0.263,17.944,18.555,-1.648
0.066,0.966,0.276,38.696,12.939,-0.305
0.041,0.949,0.245,45.959,7.019,-1.465
0.034,0.931,0.259,45.776,6.958,-5.371
0.049,0.934,0.294,43.274,9.460,-10.376
0.108,0.943,0.245,44.128,10.315,-11.108
0.151,0.946,0.257,49.438,14.404,-9.888
0.162,0.997,0.210,62.195,12.268,-6.836
0.251,0.850,0.195,58.960,12.512,-5.310
0.505,0.564,0.447,52.246,9.766,-7.446
0.635,0.624,0.719,47.180,2.258,-6.714
0.266,0.988,0.282,34.485,-11.108,-2.686
-0.047,1.038,0.215,15.320,-10.254,0.305
-0.082,0.903,0.278,9.583,-9.033,1.465
0.067,0.884,0.395,6.470,-1.099,2.258
0.188,0.883,0.345,3.723,-1.648,3.601
0.160,0.964,0.352,2.502,-0.549,2.869
0.109,0.982,0.310,7.812,-2.563,2.625
0.119,0.879,0.336,16.113,-2.930,2.686
0.136,0.781,0.314,18.127,-2.686,1.709
0.129,0.805,0.339,9.705,-0.549,-1.038
0.135,0.891,0.351,1.892,0.793,-2.930
0.155,0.913,0.349,0.732,-0.183,-3.052
0.163,0.901,0.361,2.502,-1.282,-2.014
0.145,0.892,0.346,3.662,-2.319,-0.610
0.125,0.884,0.357,2.197,-2.380,-0.366
0.126,0.899,0.356,-0.122,-2.625,0.061
0.120,0.903,0.345,-0.610,-2.441,0.732
0.112,0.906,0.344,0.854,-1.770,1.587
0.111,0.895,0.357,2.075,-0.977,1.709
0.117,0.892,0.333,3.906,-0.549,1.648
0.126,0.905,0.358,2.808,0.427,1.221
0.134,0.912,0.351,2.380,-0.244,2.014
0.124,0.893,0.353,2.747,-0.916,2.502
0.120,0.897,0.360,2.991,-0.854,1.526
0.127,0.897,0.369,2.808,-0.977,1.587
0.134,0.875,0.370,3.296,-1.465,1.892
0.123,0.874,0.368,2.747,-1.648,1.953
0.110,0.880,0.361,2.625,-1.221,2.136
0.114,0.898,0.341,3.296,0.183,2.625
0.125,0.897,0.346,4.883,1.038,2.502
0.134,0.883,0.342,7.385,1.221,2.625
0.141,0.888,0.361,7.690,1.404,2.747
0.143,0.867,0.348,7.263,0.488,2.502
0.133,0.855,0.353,5.920,0.061,2.258
0.132,0.865,0.351,2.930,-0.305,1.709
0.139,0.874,0.359,0.732,-0.427,1.587
0.136,0.885,0.351,-0.183,-0.793,2.014
0.127,0.890,0.358,-0.183,-1.099,1.648
0.125,0.891,0.363,0.305,-1.160,1.221
0.132,0.872,0.371,1.160,-1.160,1.709
0.133,0.850,0.370,2.197,-1.526,1.831
0.125,0.864,0.370,2.136,-1.526,1.526
0.120,0.880,0.364,2.258,-0.977,1.221
0.128,0.868,0.369,2.747,-0.122,0.732
0.144,0.864,0.369,2.625,0.122,0.671
0.140,0.866,0.358,2.380,-0.122,0.610
0.134,0.884,0.367,1.404,0.427,0.366
0.136,0.889,0.367,1.526,0.061,0.793
0.130,0.870,0.364,2.747,-0.183,0.916
0.129,0.869,0.363,3.052,-0.122,0.671
0.071,0.924,0.392,-0.183,-0.854,-7.385
0.068,0.830,0.423,30.945,-1.953,-6.226
0.050,0.765,0.375,51.880,-2.563,-5.371
-0.009,0.838,0.229,47.241,-4.700,-10.193
-0.038,1.075,0.125,30.701,6.165,-15.564
-0.025,1.214,0.103,22.278,17.395,-15.625
0.017,1.145,-0.003,39.917,24.536,-13.855
0.110,1.178,0.017,62.683,37.720,-4.272
0.412,0.922,0.089,67.200,45.654,7.202
0.811,0.382,0.609,77.698,31.433,9.705
0.515,0.510,0.645,75.439,0.977,8.118
-0.030,0.743,0.382,33.325,-10.803,3.967
-0.107,0.592,0.323,-3.174,-20.203,-5.493
-0.074,0.960,0.374,-20.752,-3.723,-7.935
0.115,1.053,0.409,-31.494,2.502,-4.272
0.184,1.065,0.344,-17.883,3.052,-0.244
0.122,1.026,0.339,-3.052,-0.183,1.587
0.068,0.921,0.324,11.780,-0.122,1.282
0.104,0.818,0.328,15.747,0.916,1.953
0.139,0.807,0.363,12.146,4.089,2.197
0.104,0.868,0.368,2.991,5.615,0.793
0.106,0.954,0.350,-1.343,4.456,-0.916
0.148,0.946,0.366,1.343,1.160,-0.366
0.126,0.862,0.370,6.653,-3.479,0.549
0.093,0.835,0.384,5.310,-5.188,0.061
0.078,0.882,0.382,-0.793,-3.723,-0.061
0.061,0.903,0.341,-2.808,-1.526,-0.610
0.082,0.939,0.345,-1.953,1.709,0.061
0.126,0.936,0.362,1.465,2.563,1.587
0.138,0.865,0.362,2.747,0.061,1.770
0.129,0.882,0.345,0.793,-0.610,1.343
0.111,0.919,0.352,-1.831,-0.488,1.221
0.117,0.919,0.365,-1.160,-0.854,1.648
0.124,0.894,0.364,0.488,-2.136,1.892
0.113,0.885,0.379,0.427,-2.502,1.526
0.108,0.884,0.386,-1.099,-2.441,1.587
0.116,0.886,0.369,-1.709,-2.869,1.892
0.114,0.906,0.365,-0.854,-2.991,2.136
0.107,0.909,0.364,1.587,-2.747,2.930
0.108,0.885,0.360,4.700,-2.380,3.540
0.111,0.872,0.352,5.859,-1.587,3.723
0.114,0.882,0.347,4.700,-0.671,3.296
0.126,0.883,0.360,2.930,-0.122,2.869
0.128,0.872,0.356,3.296,-0.854,2.869
0.120,0.868,0.348,3.967,-1.221,2.808
0.118,0.891,0.357,2.563,-1.587,2.869
0.117,0.889,0.353,2.197,-2.197,2.441
0.110,0.880,0.365,2.625,-2.014,2.380
0.103,0.877,0.354,3.052,-1.587,2.319
0.105,0.881,0.359,2.502,-1.038,1.892
0.110,0.887,0.361,1.953,-0.854,1.282
0.110,0.879,0.357,2.991,-1.465,1.038
0.107,0.869,0.357,3.174,-1.404,0.793
0.112,0.867,0.362,2.075,-1.526,0.427
0.114,0.858,0.358,1.648,-1.648,0.488
0.111,0.865,0.353,1.892,-1.526,0.488
0.115,0.883,0.352,1.160,-1.160,0.427
0.113,0.888,0.350,1.282,-1.587,0.671
0.109,0.882,0.367,1.953,-1.648,0.549
0.108,0.861,0.360,3.296,-1.953,0.488
0.108,0.865,0.360,2.808,-1.831,0.122
0.112,0.883,0.358,1.221,-1.465,-0.122
0.113,0.887,0.363,1.160,-1.526,-0.061
0.110,0.880,0.353,1.648,-1.526,-0.183
0.044,1.028,0.312,-20.935,8.789,-2.930
0.002,0.943,0.247,-1.831,8.179,-5.005
0.009,0.820,0.303,21.423,8.301,-4.089
0.045,0.768,0.425,36.133,9.949,-3.906
0.045,0.824,0.322,36.194,7.263,-5.615
0.006,0.924,0.227,28.809,7.019,-13.733
0.022,1.008,0.221,28.503,12.878,-17.273
0.072,1.055,0.147,39.246,15.503,-13.306
0.195,0.989,0.149,49.805,22.705,-8.850
0.455,0.774,0.246,57.312,23.193,-4.211
0.723,0.732,0.594,61.951,17.700,-0.244
0.401,0.900,0.617,55.420,-8.301,3.174
0.013,0.763,0.319,34.790,-19.653,5.554
-0.037,0.717,0.295,15.503,-21.729,4.639
-0.069,0.962,0.339,-1.160,-12.268,-0.427
-0.021,0.986,0.339,-11.414,-0.244,1.343
0.054,1.011,0.312,-4.333,5.310,3.235
0.096,0.965,0.316,4.944,7.935,3.723
0.130,0.901,0.289,12.695,6.104,2.625
0.147,0.850,0.309,13.306,4.211,1.770
0.124,0.879,0.342,9.399,3.235,1.038
0.094,0.912,0.357,3.967,2.319,0.305
0.093,0.900,0.361,3.235,0.061,0.305
0.091,0.866,0.379,4.517,-2.380,0.427
0.084,0.845,0.375,3.479,-4.089,0.305
0.079,0.855,0.386,-0.977,-4.578,-0.244
0.076,0.880,0.381,-3.540,-3.479,-1.160
0.071,0.911,0.357,-2.075,-2.258,-1.160
0.085,0.919,0.360,0.183,0.366,0.244
0.107,0.923,0.347,3.723,0.488,0.793
0.115,0.894,0.343,5.676,-0.122,1.099
0.105,0.884,0.349,5.249,-0.610,1.587
0.094,0.894,0.349,3.479,-1.038,1.404
0.094,0.904,0.358,2.197,-1.221,1.404
0.102,0.896,0.371,3.174,-1.648,1.282
0.103,0.866,0.368,4.333,-2.380,1.526
0.092,0.852,0.368,3.662,-2.563,1.648
0.093,0.875,0.380,0.854,-2.136,1.160
0.108,0.896,0.381,0.061,-1.892,0.916
0.108,0.905,0.364,0.793,-1.404,1.038
0.100,0.893,0.356,2.747,-0.854,1.099
0.101,0.884,0.367,4.333,-0.061,0.977
0.114,0.882,0.355,4.456,0.366,0.671
0.117,0.871,0.359,3.235,0.427,0.610
0.109,0.882,0.354,1.648,0.000,0.610
0.104,0.891,0.366,1.038,-0.305,0.732
0.102,0.868,0.359,1.892,-0.916,0.549
0.096,0.876,0.359,2.075,-0.732,0.488
