aX,aY,aZ,gX,gY,gZ
0.835,-1.088,0.701,-89.844,84.229,77.942
0.908,-1.124,0.700,-104.736,98.083,89.050
1.016,-1.153,0.695,-120.789,111.938,105.469
1.133,-1.133,0.675,-135.864,121.704,125.061
1.239,-1.120,0.655,-144.409,122.498,139.954
1.341,-1.127,0.652,-144.775,117.188,147.217
1.440,-1.140,0.643,-138.184,110.596,151.489
1.541,-1.212,0.597,-124.512,106.262,144.531
1.533,-1.388,0.491,-103.455,109.985,120.239
1.400,-1.638,0.265,-88.562,130.127,84.900
1.198,-1.835,-0.036,-97.473,166.382,50.415
0.981,-2.058,-0.337,-122.986,218.506,24.780
0.773,-2.303,-0.580,-163.940,275.085,1.587
0.494,-2.454,-0.729,-211.121,328.125,-20.813
0.175,-2.399,-0.761,-262.390,371.399,-34.119
-0.151,-2.185,-0.659,-309.204,408.081,-31.982
-0.457,-1.892,-0.498,-336.914,435.669,-12.329
-0.729,-1.483,-0.373,-343.201,455.444,26.550
-1.000,-0.967,-0.355,-331.238,471.680,80.811
-1.113,-0.320,-0.559,-304.871,486.389,150.940
-1.005,0.590,-0.708,-281.982,484.619,228.516
-0.889,1.668,-1.258,-208.374,436.401,285.034
-0.373,2.561,-1.714,-120.117,371.460,314.270
0.199,3.161,-1.884,-66.650,272.217,311.035
0.548,3.414,-1.872,-18.738,172.668,276.855
0.682,3.306,-1.713,21.118,105.713,225.830
0.929,3.017,-1.332,32.593,69.275,182.922
1.087,2.568,-0.745,26.001,41.931,158.813
1.068,2.156,-0.165,23.071,4.700,138.794
0.846,1.739,0.268,26.978,-37.354,106.750
0.678,1.340,0.581,23.376,-75.928,74.768
0.725,1.087,0.815,12.695,-95.154,61.462
0.821,1.028,0.859,18.005,-88.867,58.167
0.967,1.047,0.658,39.429,-57.495,52.368
1.032,1.027,0.312,66.528,-20.264,38.696
0.982,0.984,-0.085,86.304,2.014,14.343
0.937,0.899,-0.279,92.773,0.488,-13.123
0.778,0.800,-0.384,97.046,-16.357,-37.964
0.542,0.665,-0.444,94.116,-37.659,-55.054
0.448,0.554,-0.421,77.820,-52.246,-54.443
0.482,0.556,-0.298,55.664,-61.646,-39.307
0.547,0.588,-0.146,39.429,-66.772,-30.334
0.595,0.585,-0.002,31.799,-69.397,-31.555
0.650,0.593,0.108,29.907,-73.303,-34.607
0.746,0.633,0.179,34.546,-80.383,-35.889
0.850,0.729,0.198,43.884,-90.820,-36.865
0.952,0.829,0.172,52.490,-101.807,-40.344
1.030,0.920,0.131,59.204,-109.131,-45.959
1.094,1.005,0.068,65.002,-114.258,-54.749
1.122,1.074,0.026,70.496,-117.615,-66.711
1.126,1.119,0.002,75.073,-120.544,-79.712
1.108,1.148,0.013,79.041,-126.038,-91.919
1.060,1.131,0.048,85.999,-135.376,-103.088
0.999,1.062,0.104,96.924,-147.278,-113.770
